Date,Open,High,Low,Close,Adj Close,Volume,,
7/22/19,1239.25,1272.44,1215.78,1268.48,1248.98,13426225,,
7/23/19,1272.93,1281.75,1248.56,1261.59,1242.20,9375991,,
7/24/19,1261.54,1266.79,1241.78,1247.28,1228.11,7009804,,
7/25/19,1252.13,1257.13,1215.48,1219.94,1201.19,10063036,,
7/26/19,1219.94,1230.83,1198.64,1202.40,1183.92,9408829,,
7/29/19,1205.47,1210.53,1193.78,1199.58,1181.14,8134417,,
7/30/19,1202.55,1208.54,1164.91,1169.81,1151.83,9623710,,
7/31/19,1164.71,1173.87,1151.49,1155.30,1137.54,9797618,,
8/1/19,1152.48,1177.04,1139.55,1169.17,1151.20,10442920,,
8/2/19,1164.66,1187.00,1151.19,1173.23,1161.59,10968377,,
8/5/19,1156.04,1156.04,1117.41,1132.61,1121.38,14029195,,
8/6/19,1124.09,1138.81,1111.46,1117.71,1106.62,13414874,,
8/7/19,1115.92,1127.86,1092.74,1098.98,1088.08,11698729,,
8/8/19,1097.94,1147.13,1085.02,1141.53,1130.21,14398134,,
8/9/19,1150.94,1164.46,1141.48,1151.19,1139.77,10139155,,
8/13/19,1221.57,1290.57,1214.49,1262.78,1250.26,48377710,,
8/14/19,1291.76,1292.20,1268.33,1276.15,1263.50,14624460,,
8/16/19,1279.08,1279.67,1261.05,1266.00,1253.45,10142736,,
8/19/19,1269.02,1284.62,1267.98,1280.46,1267.77,7530571,,
8/20/19,1277.69,1280.46,1260.65,1263.97,1251.44,6908329,,
8/21/19,1263.67,1266.64,1254.61,1259.02,1246.53,4927825,,
8/22/19,1259.02,1259.07,1227.27,1235.04,1222.80,6475744,,
8/23/19,1227.37,1271.94,1214.98,1263.87,1251.34,9833599,,
8/26/19,1281.85,1281.85,1247.18,1254.90,1242.46,8861952,,
8/27/19,1272.93,1272.93,1249.36,1262.88,1250.36,13107475,,
8/28/19,1261.79,1268.97,1244.26,1251.44,1239.03,5355931,,
8/29/19,1244.65,1248.42,1223.70,1230.09,1217.89,8717834,,
8/30/19,1233.80,1242.62,1209.53,1236.83,1224.56,11415309,,
9/3/19,1230.59,1231.33,1188.73,1195.07,1183.22,8644177,,
9/4/19,1189.28,1193.93,1174.91,1189.87,1178.07,15206140,,
9/5/19,1195.47,1201.81,1182.09,1187.35,1175.57,10612413,,
9/6/19,1191.70,1217.46,1184.03,1211.02,1199.01,10700713,,
9/9/19,1209.19,1221.42,1201.76,1210.72,1198.72,5421667,,
9/11/19,1211.02,1228.36,1211.02,1222.81,1210.68,5597024,,
9/12/19,1223.40,1228.80,1194.38,1198.98,1187.10,5482620,,
9/13/19,1200.62,1216.96,1195.57,1214.09,1202.05,5975368,,
9/16/19,1177.84,1207.65,1174.96,1199.38,1187.49,9482774,,
9/17/19,1199.63,1199.63,1182.29,1186.21,1174.44,7218213,,
9/18/19,1193.64,1204.88,1185.96,1194.38,1182.53,6891996,,
9/19/19,1196.51,1198.34,1161.64,1167.98,1156.40,6353109,,
9/20/19,1176.80,1257.98,1163.27,1242.57,1230.25,22228398,,
9/23/19,1262.19,1268.97,1223.40,1227.56,1215.39,9973401,,
9/24/19,1231.92,1286.60,1231.08,1266.69,1254.13,16133561,,
9/25/19,1271.94,1282.84,1256.94,1267.54,1254.97,8395729,,
9/26/19,1279.87,1286.60,1271.45,1284.62,1271.88,8468733,,
9/27/19,1280.36,1302.65,1271.94,1296.76,1283.90,8795570,,
9/30/19,1297.70,1323.21,1293.29,1319.74,1306.65,11659226,,
10/1/19,1324.45,1329.40,1281.16,1292.65,1279.83,8270254,,
10/3/19,1273.92,1302.35,1269.27,1298.74,1285.86,6241716,,
10/4/19,1307.51,1316.12,1291.61,1295.82,1282.97,6918922,,
10/7/19,1295.82,1308.40,1289.48,1297.80,1284.93,4643419,,
10/9/19,1296.41,1317.46,1280.36,1312.31,1299.30,8117158,,
10/10/19,1312.56,1356.15,1308.60,1349.95,1336.57,16155443,,
